PDB1 CATH1 CATH2 PDB2 CATH1 CATH2
5jmf 1.50.10.100.9 2.70.98.70.4 4fnv 1.50.10.100.4 2.70.98.70.1
1t46 3.30.200.20.39 1.10.510.10.16 4f0f 3.30.200.20.58 1.10.510.10.34
1pb8 3.40.190.10.73 3.40.190.10.137 2v84 3.40.190.10.109 3.40.190.10.95
3dc0 3.20.20.80.152 2.60.40.1180.86 4x9y 3.20.20.80.15 2.60.40.1180.1
4euo 3.40.190.10.153 3.40.190.10.56 4i62 3.40.190.10.2 3.40.190.10.147
2pqc 3.65.10.10.9 3.65.10.10.7 3kqj 3.65.10.10.2 3.65.10.10.1
3ip5 3.40.50.2300.216 3.40.50.2300.13 4y9t 3.40.50.2300.113 3.40.50.2300.188
1pb8 3.40.190.10.73 3.40.190.10.137 4qhq 3.40.190.10.41 3.40.190.10.149
2czl 3.40.190.10.138 3.40.190.10.243 3oen 3.40.190.10.74 3.40.190.10.176
4ewe 2.60.120.10.74 2.60.120.10.9 2vec 2.60.120.10.137 2.60.120.10.94
3d02 3.40.50.2300.15 3.40.50.2300.14 4f06 3.40.50.2300.152 3.40.50.2300.49
3ip5 3.40.50.2300.216 3.40.50.2300.13 4rs3 3.40.50.2300.26 3.40.50.2300.7
2h6d 3.30.200.20.98 1.10.510.10.52 3fhr 3.30.200.20.126 1.10.510.10.59
2ov3 3.40.50.1980.49 3.40.50.1980.78 4ljs 3.40.50.1980.89 3.40.50.1980.60
3lop 3.40.50.2300.309 3.40.50.2300.59 3s99 3.40.50.2300.190 3.40.50.2300.345
1t46 3.30.200.20.39 1.10.510.10.16 3fhr 3.30.200.20.126 1.10.510.10.59
3bhy 3.30.200.20.5 1.10.510.10.10 3hko 3.30.200.20.59 1.10.510.10.75
3wy8 2.40.10.10.25 2.40.10.10.41 5dgj 2.40.10.10.85 2.40.10.10.28
1p3c 2.40.10.10.48 2.40.10.10.35 4m7g 2.40.10.10.8 2.40.10.10.3
3war 1.10.510.10.21 3.30.200.20.1 3q5z 1.10.510.10.62 3.30.200.20.185
3s99 3.40.50.2300.190 3.40.50.2300.345 4f06 3.40.50.2300.152 3.40.50.2300.49
2r3i 3.30.200.20.49 1.10.510.10.6 3fhr 3.30.200.20.126 1.10.510.10.59
4euo 3.40.190.10.153 3.40.190.10.56 4qhq 3.40.190.10.41 3.40.190.10.149
1vf8 3.20.20.80.27 3.10.50.10.2 3g6m 3.20.20.80.96 3.10.50.10.7
3gb2 3.30.200.20.80 1.10.510.10.84 5ei6 3.30.200.20.95 1.10.510.10.82
4f06 3.40.50.2300.152 3.40.50.2300.49 4y9t 3.40.50.2300.113 3.40.50.2300.188
3g6m 3.20.20.80.96 3.10.50.10.7 3w4r 3.20.20.80.132 3.10.50.10.2
3i45 3.40.50.2300.224 3.40.50.2300.114 3lop 3.40.50.2300.309 3.40.50.2300.59
1uar 3.40.250.10.15 3.40.250.10.11 1e0c 3.40.250.10.22 3.40.250.10.10
1z17 3.40.50.2300.216 3.40.50.2300.13 3s99 3.40.50.2300.190 3.40.50.2300.345
2o0b 3.65.10.10.5 3.65.10.10.6 3kqj 3.65.10.10.2 3.65.10.10.1
4f06 3.40.50.2300.152 3.40.50.2300.49 4rs3 3.40.50.2300.26 3.40.50.2300.7
2z4u 3.40.420.10.2 4.10.470.10.2 3px8 3.40.420.10.4 4.10.470.10.5
5fal 3.30.559.10.7 3.30.559.10.3 2rkv 3.30.559.10.2 3.30.559.10.1
3fhr 3.30.200.20.126 1.10.510.10.59 4i92 3.30.200.20.16 1.10.510.10.24
3gb2 3.30.200.20.80 1.10.510.10.84 5cem 3.30.200.20.181 1.10.510.10.81
2guf 2.170.130.10.3 2.40.170.20.7 3fhh 2.170.130.10.8 2.40.170.20.9
1z17 3.40.50.2300.216 3.40.50.2300.13 4f06 3.40.50.2300.152 3.40.50.2300.49
1xkw 2.170.130.10.9 2.40.170.20.2 2guf 2.170.130.10.3 2.40.170.20.7
1xs5 3.40.190.10.117 3.40.190.10.149 2czl 3.40.190.10.138 3.40.190.10.243
1pb8 3.40.190.10.73 3.40.190.10.137 2ons 3.40.190.10.30 3.40.190.10.31
3bhy 3.30.200.20.5 1.10.510.10.10 4btk 3.30.200.20.148 1.10.510.10.18
3d02 3.40.50.2300.15 3.40.50.2300.14 4y9t 3.40.50.2300.113 3.40.50.2300.188
