PDB1 CATH1 CATH2 PDB2 CATH1 CATH2
1w9h 3.40.50.2300.126 3.30.420.10.56 1bco 3.30.420.10.61 2.30.30.130.1
1f5n 1.20.1000.10.1 3.40.50.300.158 2ze6 3.40.50.300.473 1.10.287.890.2
3b6z 3.90.180.10.41 3.40.50.720.74 4wpg 3.40.50.720.3 3.90.25.10.12
3khi 1.10.472.150.1 3.40.390.10.27 1r1h 3.40.390.10.29 1.10.1380.10.1
3qdh 2.60.40.740.9 2.60.40.10.348 1ut9 2.60.40.10.405 1.50.10.10.44
1xs5 3.40.190.10.117 3.40.190.10.149 4ofj 3.40.190.10.372 3.10.105.10.9
3gms 3.90.180.10.10 3.40.50.720.476 4wpg 3.40.50.720.3 3.90.25.10.12
3uk0 3.40.50.2300.208 3.40.50.2300.6 1w9h 3.40.50.2300.126 3.30.420.10.56
4g97 1.20.140.160.2 3.40.50.2300.70 1w9h 3.40.50.2300.126 3.30.420.10.56
4g97 1.20.140.160.2 3.40.50.2300.70 4y9t 3.40.50.2300.113 3.40.50.2300.188
3oen 3.40.190.10.74 3.40.190.10.176 5icq 3.40.190.10.385 3.10.105.10.18
2yhs 1.20.120.140.4 3.40.50.300.23 3a1t 3.40.50.300.132 1.10.287.1770.1
3pdw 3.40.50.1000.10 3.40.50.1000.114 2qlt 3.40.50.1000.53 1.10.150.240.24
3un6 3.40.190.10.275 3.40.190.10.313 4ofj 3.40.190.10.372 3.10.105.10.9
3ii1 2.60.40.1180.95 3.20.20.80.179 3co4 3.20.20.80.192 3.40.5.30.1
4no7 3.40.367.20.2 3.30.420.40.9 3hz6 3.30.420.40.144 3.30.420.40.137
2w4q 3.90.180.10.36 3.40.50.720.89 2p5y 3.40.50.720.32 3.90.25.10.9
2w4q 3.90.180.10.36 3.40.50.720.89 1lj8 3.40.50.720.466 1.10.1040.10.39
3b6z 3.90.180.10.41 3.40.50.720.74 4ffl 3.40.50.720.549 3.30.470.20.24
4g97 1.20.140.160.2 3.40.50.2300.70 4rs3 3.40.50.2300.26 3.40.50.2300.7
3b6z 3.90.180.10.41 3.40.50.720.74 3c7a 3.40.50.720.162 1.10.1040.10.43
3hjr 3.40.50.200.24 2.60.120.260.12 3c7e 2.60.120.260.58 2.115.10.20.4
2yhs 1.20.120.140.4 3.40.50.300.23 2qor 3.40.50.300.400 3.30.63.10.4
3gms 3.90.180.10.10 3.40.50.720.476 4ffl 3.40.50.720.549 3.30.470.20.24
3gms 3.90.180.10.10 3.40.50.720.476 3c7a 3.40.50.720.162 1.10.1040.10.43
4yle 3.40.50.2300.111 3.40.50.2300.81 1w9h 3.40.50.2300.126 3.30.420.10.56
3goh 3.90.180.10.18 3.40.50.720.498 1lj8 3.40.50.720.466 1.10.1040.10.39
2czl 3.40.190.10.138 3.40.190.10.243 5icq 3.40.190.10.385 3.10.105.10.18
4anr 1.10.8.350.1 1.10.530.10.15 2z38 1.10.530.10.18 3.30.20.10.1
4qhq 3.40.190.10.41 3.40.190.10.149 5icq 3.40.190.10.385 3.10.105.10.18
3uif 3.40.190.10.377 3.40.190.10.363 5icq 3.40.190.10.385 3.10.105.10.18
3ii1 2.60.40.1180.95 3.20.20.80.179 3g6m 3.20.20.80.96 3.10.50.10.7
3b6z 3.90.180.10.41 3.40.50.720.74 1s6y 3.40.50.720.449 3.90.110.10.16
3ii1 2.60.40.1180.95 3.20.20.80.179 3alf 3.20.20.80.98 3.10.50.10.3
3ii1 2.60.40.1180.95 3.20.20.80.179 1vf8 3.20.20.80.27 3.10.50.10.2
3gms 3.90.180.10.10 3.40.50.720.476 1s6y 3.40.50.720.449 3.90.110.10.16
2nsm 3.40.630.10.39 2.60.40.1120.1 4eiu 2.60.40.1120.6 2.60.40.2060.4
1r6x 3.10.400.10.1 3.40.50.620.4 2ip1 3.40.50.620.59 1.10.240.10.5
4kqc 3.40.50.2300.71 3.40.50.2300.67 1w9h 3.40.50.2300.126 3.30.420.10.56
